Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
C4,10u/50V/1206,C_1206_3216Metric,141.252,-72.7998,-90,top
C5,10u/50V/1206,C_1206_3216Metric,138.547,-88.6498,180,top
C6,10u/50V/1206,C_1206_3216Metric,156.017,-72.5598,180,top
C7,10u/50V/1206,C_1206_3216Metric,127.027,-88.6698,180,top
C8,100n/50V/0603,C_0603_1608Metric,143.382,-71.9248,-90,top
C9,100n/50V/0603,C_0603_1608Metric,139.327,-90.6998,180,top
C10,100n/50V/0603,C_0603_1608Metric,127.827,-90.6998,180,top
C11,100n/50V/0603,C_0603_1608Metric,156.727,-74.5998,180,top
C12,10u/50V/1206,C_1206_3216Metric,105.552,-89.3498,180,top
C13,100n/50V/0603,C_0603_1608Metric,106.199239,-91.332724,180,top
C14,10u/50V/1206,C_1206_3216Metric,116.772,-88.8998,180,top
C15,1uF/50V/1206,C_1206_3216Metric,149.452,-73.1998,-90,top
C16,10u/50V/1206,C_1206_3216Metric,138.597,-97.0298,180,top
C17,10u/50V/1206,C_1206_3216Metric,106.452,-71.1398,180,top
C18,100n/50V/0603,C_0603_1608Metric,117.552,-90.9498,180,top
C19,10u/50V/1206,C_1206_3216Metric,105.197,-97.0498,180,top
C20,100n/50V/0603,C_0603_1608Metric,107.302,-73.1298,180,top
C21,10u/50V/1206,C_1206_3216Metric,116.527,-97.0598,180,top
C22,10u/50V/1206,C_1206_3216Metric,105.277,-78.2498,180,top
C26,100n/50V/0603,C_0603_1608Metric,156.852,-98.0998,0,top
C27,10u/50V/1206,C_1206_3216Metric,126.807,-97.0798,180,top
C28,10u/50V/1206,C_1206_3216Metric,155.502,-80.1498,180,top
Computer1,1723103102,MOLEX_1723103102,156.392,-62.3498,180,top
GPS1,5-104361-1,TE_5-104361-1,112.3145,-105.12905,180,top
J1,2157601003,MOLEX_2157601004,124.252,-57.3898,180,top
Lidar1,1723103102,MOLEX_1723103102,140.307625,-104.5498,0,top
Phone1,5-104361-1,TE_5-104361-1,121.343875,-105.12905,180,top
R4,590R/0603/1%,R_0603_1608Metric,149.002,-68.0748,-90,top
R5,681R/0603/1%,R_0603_1608Metric,143.972,-97.0298,180,top
R6,4.22k/0603/1%,R_0603_1608Metric,161.052,-79.6498,180,top
R7,806R/0603/1%,R_0603_1608Metric,110.792,-97.0598,180,top
R9,590R/0603/1%,R_0603_1608Metric,121.852,-97.0798,180,top
R10,590R/0603/1%,R_0603_1608Metric,110.772,-78.3398,180,top
R11,1.82k/0603/1%,R_0603_1608Metric,132.332,-97.0898,180,top
R14,715k/0603/1%,R_0603_1608Metric,146.477,-78.7998,180,top
R23,12.7k/0603/1%,R_0603_1608Metric,149.632,-90.7598,90,top
R25,1k/0603/1%,R_0603_1608Metric,149.902,-87.2148,90,top
R27,4.99k/0603/1%,R_0603_1608Metric,154.512,-87.2348,-90,top
R28,4.99k/0603/1%,R_0603_1608Metric,156.062,-87.2448,-90,top
R44,1M/0603/1%,R_0603_1608Metric,143.427,-78.7998,180,top
Spare1,1723103102,MOLEX_1723103102,128.85325,-104.5498,0,top
U3,TPS259571DSGR,SON50P200X200X80-9N,145.6745,-69.3698,0,top
U4,TPS259571DSGR,SON50P200X200X80-9N,142.302,-93.3573,-90,top
U5,TPS259571DSGR,SON50P200X200X80-9N,130.7045,-93.3573,-90,top
U8,TPS259571DSGR,SON50P200X200X80-9N,109.002,-93.3673,-90,top
U9,TPS1HC30BQPWPRQ1,IC_TPS1HC30BQPWPRQ1,153.382,-93.1198,-90,top
U10,TPS259571DSGR,SON50P200X200X80-9N,159.052,-77.0673,-90,top
U11,TPS259571DSGR,SON50P200X200X80-9N,120.242,-93.3673,-90,top
U12,TPS259571DSGR,SON50P200X200X80-9N,108.892,-75.5273,-90,top
Winch1,1723103102,MOLEX_1723103102,151.762,-104.5498,0,top
